time,one,two,three,four,five,six
334,3,93,21,314,378,23
335,3,87,19,295,355,21
336,2,81,18,277,334,20
337,2,76,17,260,314,18
338,2,71,15,244,295,17
339,2,66,14,230,278,16
340,2,62,13,216,261,15
341,2,58,12,203,245,14
342,1,54,11,190,231,13
343,1,50,11,179,217,12
344,1,47,10,168,204,11
345,1,44,9,158,192,10
346,1,41,8,148,180,9
347,1,38,8,139,169,9
348,1,36,7,131,159,8
349,1,33,7,123,150,7
350,1,31,6,115,141,7
351,1,29,6,108,132,6
352,1,27,5,102,124,6
353,1,25,5,96,117,6
354,1,24,5,90,110,5
355,0,22,4,84,103,5
356,0,21,4,79,97,4
357,0,19,4,74,91,4
358,0,18,3,70,86,4
359,0,17,3,66,81,4
360,0,16,3,62,76,3
361,0,15,3,58,71,3
362,0,14,3,54,67,3
363,0,13,2,51,63,3
364,0,12,2,48,59,2
365,0,11,2,45,56,2
366,0,10,2,42,52,2
367,0,10,2,40,49,2
368,0,9,2,37,46,2
369,0,9,2,35,44,2
370,0,8,1,33,41,2
371,0,7,1,31,39,1
372,0,7,1,29,36,1
373,0,6,1,27,34,1
374,0,6,1,26,32,1
375,0,6,1,24,30,1
376,0,5,1,23,28,1
377,0,5,1,21,27,1
378,0,5,1,20,25,1
379,0,4,1,19,24,1
380,0,4,1,18,22,1
381,0,4,1,17,21,1
382,0,4,1,16,20,1
383,0,3,1,15,18,1
384,0,3,0,14,17,1
385,0,3,0,13,16,1
386,0,3,0,12,15,0
387,0,2,0,11,14,0
388,0,2,0,11,14,0
389,0,2,0,10,13,0
390,0,2,0,9,12,0
391,0,2,0,9,11,0
392,0,2,0,8,11,0
393,0,2,0,8,10,0
394,0,2,0,7,9,0
395,0,1,0,7,9,0
396,0,1,0,6,8,0
397,0,1,0,6,8,0
398,0,1,0,6,7,0
399,0,1,0,5,7,0
400,0,1,0,5,6,0
401,0,1,0,5,6,0
402,0,1,0,4,6,0
403,0,1,0,4,5,0
404,0,1,0,4,5,0
405,0,1,0,4,5,0
406,0,1,0,3,4,0
407,0,1,0,3,4,0
408,0,1,0,3,4,0
409,0,1,0,3,4,0
410,0,1,0,3,3,0
411,0,0,0,3,3,0
412,0,0,0,2,3,0
413,0,0,0,2,3,0
414,0,0,0,2,3,0
415,0,0,0,2,3,0
416,0,0,0,2,2,0
417,0,0,0,2,2,0
418,0,0,0,2,2,0
419,0,0,0,2,2,0
420,0,0,0,1,2,0
421,0,0,0,1,2,0
422,0,0,0,1,2,0
423,0,0,0,1,2,0
424,0,0,0,1,1,0
425,0,0,0,1,1,0
426,0,0,0,1,1,0
427,0,0,0,1,1,0
428,0,0,0,1,1,0
429,0,0,0,1,1,0
430,0,0,0,1,1,0
431,0,0,0,1,1,0
432,0,0,0,1,1,0
433,0,0,0,1,1,0
434,0,0,0,1,1,0
435,0,0,0,1,1,0
436,0,0,0,1,1,0
437,0,0,0,0,1,0
438,0,0,0,0,1,0
439,0,0,0,0,1,0
440,0,0,0,0,1,0
441,0,0,0,0,1,0
442,0,0,0,0,0,0
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,0,0,0,0,0,0
447,0,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,0,0,0,0,0
452,0,0,0,0,0,0
453,0,0,0,0,0,0
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,0,0,0,0,0,0
460,0,0,0,0,0,0
461,0,0,0,0,0,0
462,0,0,0,0,0,0
463,0,0,0,0,0,0
464,0,0,0,0,0,0
465,0,0,0,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,0,0,0
470,0,0,0,0,0,0
471,0,0,0,0,0,0
472,0,0,0,0,0,0
473,0,0,0,0,0,0
474,0,0,0,0,0,0
475,0,0,0,0,0,0
476,0,0,0,0,0,0
